tags_collected, time_in_minutes, random_seed
58, 50, 1337
32, 50, 1338
73, 50, 1339
88, 50, 1340
25, 50, 1341
65, 50, 1342
48, 50, 1343
58, 50, 1344
95, 50, 1345
65, 50, 1346
60, 50, 1347
38, 50, 1348
61, 50, 1349
37, 50, 1350
11, 50, 1351
16, 50, 1352
22, 50, 1353
88, 50, 1354
0, 50, 1355
81, 50, 1356
31, 50, 1357
51, 50, 1358
98, 50, 1359
64, 50, 1360
4, 50, 1361
33, 50, 1362
104, 50, 1363
73, 50, 1364
43, 50, 1365
54, 50, 1366
21, 50, 1367
32, 50, 1368
14, 50, 1369
41, 50, 1370
61, 50, 1371
93, 50, 1372
82, 50, 1373
61, 50, 1374
119, 50, 1375
56, 50, 1376
105, 50, 1377
56, 50, 1378
21, 50, 1379
45, 50, 1380
64, 50, 1381
40, 50, 1382
62, 50, 1383
64, 50, 1384
94, 50, 1385
47, 50, 1386
