tags_collected, time_in_minutes, random_seed
0, 10, 1337
0, 10, 1338
25, 10, 1339
24, 10, 1340
0, 10, 1341
1, 10, 1342
0, 10, 1343
0, 10, 1344
15, 10, 1345
5, 10, 1346
0, 10, 1347
0, 10, 1348
0, 10, 1349
0, 10, 1350
0, 10, 1351
0, 10, 1352
0, 10, 1353
31, 10, 1354
0, 10, 1355
15, 10, 1356
0, 10, 1357
0, 10, 1358
15, 10, 1359
7, 10, 1360
0, 10, 1361
0, 10, 1362
20, 10, 1363
16, 10, 1364
0, 10, 1365
0, 10, 1366
0, 10, 1367
0, 10, 1368
0, 10, 1369
0, 10, 1370
3, 10, 1371
17, 10, 1372
21, 10, 1373
0, 10, 1374
34, 10, 1375
0, 10, 1376
20, 10, 1377
4, 10, 1378
0, 10, 1379
0, 10, 1380
8, 10, 1381
0, 10, 1382
5, 10, 1383
0, 10, 1384
26, 10, 1385
0, 10, 1386
