tags_collected, time_in_minutes, random_seed
17, 20, 1337
16, 20, 1338
14, 20, 1339
29, 20, 1340
12, 20, 1341
30, 20, 1342
44, 20, 1343
29, 20, 1344
23, 20, 1345
22, 20, 1346
26, 20, 1347
13, 20, 1348
19, 20, 1349
22, 20, 1350
11, 20, 1351
18, 20, 1352
17, 20, 1353
10, 20, 1354
47, 20, 1355
13, 20, 1356
38, 20, 1357
24, 20, 1358
14, 20, 1359
13, 20, 1360
14, 20, 1361
37, 20, 1362
17, 20, 1363
16, 20, 1364
23, 20, 1365
20, 20, 1366
3, 20, 1367
18, 20, 1368
31, 20, 1369
30, 20, 1370
22, 20, 1371
20, 20, 1372
17, 20, 1373
19, 20, 1374
33, 20, 1375
15, 20, 1376
18, 20, 1377
15, 20, 1378
22, 20, 1379
21, 20, 1380
24, 20, 1381
9, 20, 1382
28, 20, 1383
20, 20, 1384
30, 20, 1385
32, 20, 1386
