tags_collected, time_in_minutes, random_seed
37, 30, 1337
41, 30, 1338
38, 30, 1339
29, 30, 1340
36, 30, 1341
36, 30, 1342
34, 30, 1343
36, 30, 1344
36, 30, 1345
39, 30, 1346
33, 30, 1347
39, 30, 1348
41, 30, 1349
37, 30, 1350
35, 30, 1351
36, 30, 1352
42, 30, 1353
46, 30, 1354
34, 30, 1355
33, 30, 1356
42, 30, 1357
37, 30, 1358
44, 30, 1359
37, 30, 1360
36, 30, 1361
40, 30, 1362
34, 30, 1363
36, 30, 1364
34, 30, 1365
37, 30, 1366
33, 30, 1367
39, 30, 1368
34, 30, 1369
35, 30, 1370
39, 30, 1371
41, 30, 1372
38, 30, 1373
29, 30, 1374
34, 30, 1375
38, 30, 1376
39, 30, 1377
35, 30, 1378
37, 30, 1379
41, 30, 1380
35, 30, 1381
41, 30, 1382
35, 30, 1383
32, 30, 1384
37, 30, 1385
36, 30, 1386
