tags_collected, time_in_minutes, random_seed
39, 40, 1337
33, 40, 1338
28, 40, 1339
62, 40, 1340
34, 40, 1341
44, 40, 1342
67, 40, 1343
49, 40, 1344
55, 40, 1345
34, 40, 1346
35, 40, 1347
34, 40, 1348
46, 40, 1349
45, 40, 1350
30, 40, 1351
36, 40, 1352
33, 40, 1353
29, 40, 1354
78, 40, 1355
30, 40, 1356
60, 40, 1357
45, 40, 1358
33, 40, 1359
30, 40, 1360
33, 40, 1361
51, 40, 1362
37, 40, 1363
32, 40, 1364
37, 40, 1365
42, 40, 1366
17, 40, 1367
32, 40, 1368
62, 40, 1369
62, 40, 1370
44, 40, 1371
57, 40, 1372
39, 40, 1373
32, 40, 1374
65, 40, 1375
34, 40, 1376
37, 40, 1377
42, 40, 1378
35, 40, 1379
48, 40, 1380
52, 40, 1381
25, 40, 1382
48, 40, 1383
34, 40, 1384
51, 40, 1385
65, 40, 1386
