tags_collected, time_in_minutes, random_seed
64, 60, 1337
72, 60, 1338
68, 60, 1339
56, 60, 1340
65, 60, 1341
69, 60, 1342
64, 60, 1343
67, 60, 1344
65, 60, 1345
70, 60, 1346
59, 60, 1347
73, 60, 1348
73, 60, 1349
68, 60, 1350
61, 60, 1351
61, 60, 1352
70, 60, 1353
76, 60, 1354
65, 60, 1355
64, 60, 1356
71, 60, 1357
66, 60, 1358
69, 60, 1359
68, 60, 1360
63, 60, 1361
63, 60, 1362
67, 60, 1363
61, 60, 1364
65, 60, 1365
68, 60, 1366
65, 60, 1367
69, 60, 1368
64, 60, 1369
61, 60, 1370
67, 60, 1371
74, 60, 1372
69, 60, 1373
59, 60, 1374
58, 60, 1375
69, 60, 1376
66, 60, 1377
67, 60, 1378
68, 60, 1379
70, 60, 1380
64, 60, 1381
67, 60, 1382
60, 60, 1383
63, 60, 1384
63, 60, 1385
65, 60, 1386
