tags_collected, time_in_minutes, random_seed
226, 60, 1337
0, 0, 1337
27, 10, 1337
27, 10, 1337
0, 0, 1337
1, 0, 1338
0, 0, 1339
0, 0, 1340
0, 0, 1341
0, 0, 1342
0, 0, 1343
0, 0, 1344
1, 0, 1345
0, 0, 1346
3, 0, 1347
1, 0, 1348
0, 0, 1337
1, 0, 1338
0, 0, 1339
0, 0, 1340
0, 0, 1341
0, 0, 1342
0, 0, 1343
0, 0, 1344
1, 0, 1345
0, 0, 1346
3, 0, 1347
0, 1, 1337
3, 1, 1338
0, 1, 1339
0, 1, 1340
7, 1, 1341
0, 1, 1342
0, 1, 1343
0, 1, 1344
0, 1, 1345
0, 1, 1346
6, 1, 1347
0, 1, 1348
2, 1, 1349
1, 1, 1350
2, 1, 1351
0, 1, 1352
1, 1, 1353
2, 1, 1354
1, 1, 1355
3, 1, 1356
0, 1, 1357
0, 1, 1358
0, 1, 1359
0, 1, 1360
1, 1, 1361
0, 1, 1362
1, 1, 1363
0, 1, 1364
0, 1, 1365
1, 1, 1366
1, 1, 1367
1, 1, 1368
2, 1, 1369
1, 1, 1370
1, 1, 1371
2, 1, 1372
3, 1, 1373
1, 1, 1374
0, 1, 1375
0, 1, 1376
0, 0, 1337
0, 1, 1337
3, 0, 1338
0, 1, 1337
3, 1, 1338
